dr0,0.00141421
r0,0.05
R,2
R/r0,40
Nr,20
Ntheta,222.144
Nboundary,223
Nfluid,4460
Nparticles,4683
Apolar,0.311157
Bpolar,0.00387451

ID,r,theta,x,y,Type
426,0.0514142,5.74171,0.0440593,-0.0264991,fluid
427,0.0514142,5.76999,0.0447911,-0.0252424,fluid
428,0.0514142,5.79828,0.045487,-0.0239656,fluid
429,0.0514142,5.82656,0.0461466,-0.0226696,fluid
430,0.0514142,5.85484,0.0467692,-0.0213555,fluid
431,0.0514142,5.88313,0.0473545,-0.0200243,fluid
432,0.0514142,5.91141,0.0479018,-0.0186771,fluid
433,0.0514142,5.9397,0.0484109,-0.017315,fluid
434,0.0514142,5.96798,0.0488812,-0.0159389,fluid
435,0.0514142,5.99627,0.0493124,-0.0145502,fluid
436,0.0514142,6.02455,0.0497042,-0.0131498,fluid
437,0.0514142,6.05283,0.0500562,-0.0117389,fluid
438,0.0514142,6.08112,0.0503681,-0.0103186,fluid
439,0.0514142,6.1094,0.0506398,-0.00889,fluid
440,0.0514142,6.13769,0.050871,-0.00745432,fluid
441,0.0514142,6.16597,0.0510614,-0.00601268,fluid
442,0.0514142,6.19426,0.051211,-0.00456624,fluid
443,0.0514142,6.22254,0.0513197,-0.00311614,fluid
444,0.0514142,6.25082,0.0513873,-0.00166354,fluid
445,0.0514142,6.27911,0.0514138,-0.00020962,fluid
446,0.0533446,0,0.0533446,0,fluid
447,0.0533446,0.0282843,0.0533233,0.00150861,fluid
448,0.0533446,0.0565685,0.0532593,0.00301602,fluid
449,0.0533446,0.0848528,0.0531527,0.00452101,fluid
450,0.0533446,0.113137,0.0530036,0.00602239,fluid
451,0.0533446,0.141421,0.0528121,0.00751895,fluid
452,0.0533446,0.169706,0.0525783,0.00900949,fluid
453,0.0533446,0.19799,0.0523025,0.0104928,fluid
454,0.0533446,0.226274,0.0519848,0.0119678,fluid
455,0.0533446,0.254558,0.0516256,0.0134331,fluid
456,0.0533446,0.282843,0.051225,0.0148878,fluid
457,0.0533446,0.311127,0.0507835,0.0163305,fluid
458,0.0533446,0.339411,0.0503014,0.0177601,fluid
459,0.0533446,0.367696,0.049779,0.0191756,fluid
460,0.0533446,0.39598,0.0492168,0.0205757,fluid
461,0.0533446,0.424264,0.0486152,0.0219593,fluid
462,0.0533446,0.452548,0.0479747,0.0233254,fluid
463,0.0533446,0.480833,0.0472959,0.0246728,fluid
464,0.0533446,0.509117,0.0465792,0.0260005,fluid
465,0.0533446,0.537401,0.0458253,0.0273074,fluid
466,0.0533446,0.565685,0.0450347,0.0285924,fluid
