time,ID,r,z,u_r,u_z,rho,pressure,pairAr,pairAz,totalAr,totalAz
1.52,858,2.24766,3.72363,1.10767,-4.74857,1000.51,6067.05,-0.727684,14.5367,1.9702,4.7267
1.53,858,2.25881,3.67641,1.12051,-4.69312,1000.48,5663.42,-0.640694,14.0369,1.86536,4.2269
1.54,858,2.27008,3.6297,1.13057,-4.64686,1000.44,5155.93,-0.60924,13.2395,1.66102,3.42948
1.55,858,2.28144,3.58342,1.13835,-4.60793,1000.43,5016.68,-0.544775,13.0529,1.6532,3.24287
1.56,858,2.29288,3.53753,1.14645,-4.5678,1000.44,5204.8,-0.392476,13.5972,1.87651,3.78721
1.57,858,2.3044,3.49206,1.15587,-4.52282,1000.45,5248.04,-0.253441,14.0327,2.02295,4.22275
1.58,858,2.31602,3.44705,1.16482,-4.47781,1000.43,5017.72,-0.21427,13.9049,1.95133,4.0949
1.59,858,2.32773,3.40248,1.17214,-4.43671,1000.41,4828.89,-0.187652,13.7242,1.88601,3.91422
1.6,858,2.3395,3.35831,1.17905,-4.39674,1000.41,4869.65,-0.0726863,13.9965,2.00795,4.18649
1.61,858,2.35135,3.31455,1.18715,-4.35376,1000.42,4953.04,0.0830967,14.4393,2.18868,4.62934
1.62,858,2.36328,3.27124,1.19597,-4.30943,1000.41,4808.77,0.173074,14.4297,2.20703,4.61972
1.63,858,2.3753,3.22836,1.20396,-4.26973,1000.38,4476.63,0.202884,13.927,2.08682,4.11698
1.64,858,2.3874,3.18584,1.21084,-4.23675,1000.36,4270.35,0.262598,13.5753,2.05065,3.76527
1.65,858,2.39956,3.14363,1.21817,-4.20575,1000.36,4290.07,0.370079,13.7303,2.15728,3.92026
1.66,858,2.41181,3.10175,1.22678,-4.17305,1000.36,4286.23,0.449851,13.9522,2.22639,4.14225
1.67,858,2.42414,3.06019,1.2358,-4.14045,1000.35,4137.13,0.465648,13.8618,2.17169,4.05175
1.68,858,2.43656,3.01896,1.2448,-4.10971,1000.34,4044.38,0.506971,13.809,2.16627,3.99899
1.69,858,2.44908,2.97803,1.25499,-4.07809,1000.35,4107.39,0.613166,14.1158,2.2897,4.30585
1.7,858,2.4617,2.93744,1.26715,-4.04293,1000.35,4130.17,0.706159,14.4153,2.38334,4.60532
1.71,858,2.47446,2.8972,1.28026,-4.00674,1000.34,3970.38,0.724081,14.2778,2.32809,4.46781
1.72,858,2.48734,2.85732,1.29338,-3.9734,1000.32,3764.3,0.730913,13.9355,2.24381,4.12548
