dr0,0.000447214
r0,0.005
R,0.2
R/r0,40
Nr,20
Ntheta,70.2481
Nboundary,71
Nfluid,1420
Nparticles,1491
Apolar,0.238789
Bpolar,0.00165812

ID,r,theta,x,y,Type
295,0.00765147,0.98387,0.00423742,0.00637097,fluid
296,0.00765147,1.07331,0.0036514,0.006724,fluid
297,0.00765147,1.16276,0.00303619,0.00702328,fluid
298,0.00765147,1.2522,0.00239671,0.00726641,fluid
299,0.00765147,1.34164,0.00173807,0.00745145,fluid
300,0.00765147,1.43108,0.00106553,0.00757691,fluid
301,0.00765147,1.52053,0.000384478,0.0076418,fluid
302,0.00765147,1.60997,-0.000299651,0.0076456,fluid
303,0.00765147,1.69941,-0.000981385,0.00758827,fluid
304,0.00765147,1.78885,-0.00165527,0.00747027,fluid
305,0.00765147,1.8783,-0.00231593,0.00729256,fluid
306,0.00765147,1.96774,-0.00295807,0.00705654,fluid
307,0.00765147,2.05718,-0.00357656,0.00676411,fluid
308,0.00765147,2.14663,-0.00416645,0.0064176,fluid
309,0.00765147,2.23607,-0.00472304,0.00601978,fluid
310,0.00765147,2.32551,-0.00524187,0.00557384,fluid
311,0.00765147,2.41495,-0.00571879,0.00508334,fluid
312,0.00765147,2.5044,-0.00614999,0.0045522,fluid
313,0.00765147,2.59384,-0.00653203,0.00398466,fluid
314,0.00765147,2.68328,-0.00686184,0.00338527,fluid
315,0.00765147,2.77272,-0.0071368,0.00275881,fluid
316,0.00765147,2.86217,-0.0073547,0.0021103,fluid
317,0.00765147,2.95161,-0.0075138,0.00144492,fluid
318,0.00765147,3.04105,-0.00761283,0.000767985,fluid
319,0.00765147,3.1305,-0.007651,8.49103e-05,fluid
320,0.00765147,3.21994,-0.007628,-0.000598843,fluid
321,0.00765147,3.30938,-0.00754401,-0.00127781,fluid
322,0.00765147,3.39882,-0.00739972,-0.00194656,fluid
323,0.00765147,3.48827,-0.00719627,-0.00259975,fluid
324,0.00765147,3.57771,-0.00693528,-0.00323215,fluid
325,0.00765147,3.66715,-0.00661885,-0.00383871,fluid
326,0.00765147,3.75659,-0.00624951,-0.00441459,fluid
327,0.00765147,3.84604,-0.0058302,-0.00495517,fluid
328,0.00765147,3.93548,-0.00536428,-0.00545614,fluid
329,0.00765147,4.02492,-0.00485548,-0.00591348,fluid
330,0.00765147,4.11437,-0.00430786,-0.00632355,fluid
331,0.00765147,4.20381,-0.00372579,-0.00668307,fluid
332,0.00765147,4.29325,-0.00311395,-0.00698915,fluid
333,0.00765147,4.38269,-0.0024772,-0.00723937,fluid
334,0.00765147,4.47214,-0.00182065,-0.0074317,fluid
335,0.00765147,4.56158,-0.00114955,-0.00756462,fluid
336,0.00765147,4.65102,-0.000469257,-0.00763706,fluid
337,0.00765147,4.74046,0.000214788,-0.00764845,fluid
338,0.00765147,4.82991,0.000897116,-0.00759869,fluid
339,0.00765147,4.91935,0.00157227,-0.00748818,fluid
340,0.00765147,5.00879,0.00223486,-0.00731781,fluid
341,0.00765147,5.09823,0.00287958,-0.00708893,fluid
342,0.00765147,5.18768,0.00350127,-0.00680338,fluid
343,0.00765147,5.27712,0.00409498,-0.00646344,fluid
344,0.00765147,5.36656,0.00465595,-0.00607183,fluid
345,0.00765147,5.45601,0.00517969,-0.00563167,fluid
346,0.00765147,5.54545,0.00566203,-0.00514649,fluid
347,0.00765147,5.63489,0.0060991,-0.00462017,fluid
348,0.00765147,5.72433,0.00648741,-0.0040569,fluid
