dr0,0.00141421
r0,0.005
R,0.1
R/r0,20
Nr,20
Ntheta,22.2144
Nboundary,23
Nfluid,460
Nparticles,483
Apolar,0.107899
Bpolar,0.0124125

ID,r,theta,x,y,Type
299,0.0430578,0,0.0430578,0,fluid
300,0.0430578,0.282843,0.041347,0.0120169,fluid
301,0.0430578,0.565685,0.0363503,0.0230788,fluid
302,0.0430578,0.848528,0.028465,0.0323066,fluid
303,0.0430578,1.13137,0.0183176,0.0389672,fluid
304,0.0430578,1.41421,0.0067146,0.0425311,fluid
305,0.0430578,1.69706,-0.00542205,0.0427151,fluid
306,0.0430578,1.9799,-0.0171278,0.0395046,fluid
307,0.0430578,2.26274,-0.0274725,0.0331548,fluid
308,0.0430578,2.54558,-0.0356339,0.0241702,fluid
309,0.0430578,2.82843,-0.0409636,0.0132649,fluid
310,0.0430578,3.11127,-0.043038,0.00130543,fluid
311,0.0430578,3.39411,-0.0416923,-0.0107578,fluid
312,0.0430578,3.67696,-0.0370333,-0.0219661,fluid
313,0.0430578,3.9598,-0.0294314,-0.0314288,fluid
314,0.0430578,4.24264,-0.0194906,-0.0383939,fluid
315,0.0430578,4.52548,-0.00800097,-0.0423079,fluid
316,0.0430578,4.80833,0.00412451,-0.0428598,fluid
317,0.0430578,5.09117,0.0159222,-0.0400057,fluid
318,0.0430578,5.37401,0.0264546,-0.0339725,fluid
319,0.0430578,5.65685,0.0348847,-0.0252395,fluid
320,0.0430578,5.9397,0.0405426,-0.0145007,fluid
321,0.0430578,6.22254,0.0429787,-0.00260967,fluid
322,0.0488082,0,0.0488082,0,fluid
323,0.0488082,0.282843,0.0468688,0.0136217,fluid
324,0.0488082,0.565685,0.0412049,0.0261609,fluid
325,0.0488082,0.848528,0.0322665,0.0366212,fluid
326,0.0488082,1.13137,0.0207639,0.0441712,fluid
327,0.0488082,1.41421,0.00761133,0.048211,fluid
328,0.0488082,1.69706,-0.00614616,0.0484196,fluid
329,0.0488082,1.9799,-0.0194152,0.0447804,fluid
330,0.0488082,2.26274,-0.0311414,0.0375826,fluid
331,0.0488082,2.54558,-0.0403928,0.0273981,fluid
332,0.0488082,2.82843,-0.0464343,0.0150364,fluid
333,0.0488082,3.11127,-0.0487857,0.00147977,fluid
334,0.0488082,3.39411,-0.0472603,-0.0121945,fluid
335,0.0488082,3.67696,-0.0419791,-0.0248996,fluid
336,0.0488082,3.9598,-0.033362,-0.0356261,fluid
337,0.0488082,4.24264,-0.0220936,-0.0435214,fluid
338,0.0488082,4.52548,-0.0090695,-0.0479581,fluid
339,0.0488082,4.80833,0.00467534,-0.0485837,fluid
340,0.0488082,5.09117,0.0180486,-0.0453485,fluid
341,0.0488082,5.37401,0.0299876,-0.0385095,fluid
342,0.0488082,5.65685,0.0395436,-0.0286102,fluid
343,0.0488082,5.9397,0.0459571,-0.0164373,fluid
344,0.0488082,6.22254,0.0487184,-0.00295819,fluid
345,0.0552137,0,0.0552137,0,fluid
346,0.0552137,0.282843,0.0530198,0.0154094,fluid
347,0.0552137,0.565685,0.0466126,0.0295942,fluid
348,0.0552137,0.848528,0.0365011,0.0414273,fluid
349,0.0552137,1.13137,0.023489,0.0499682,fluid
350,0.0552137,1.41421,0.00861022,0.0545382,fluid
351,0.0552137,1.69706,-0.00695277,0.0547741,fluid
352,0.0552137,1.9799,-0.0219632,0.0506573,fluid
353,0.0552137,2.26274,-0.0352283,0.0425149,fluid
354,0.0552137,2.54558,-0.0456939,0.0309938,fluid
355,0.0552137,2.82843,-0.0525282,0.0170098,fluid
356,0.0552137,3.11127,-0.0551883,0.00167398,fluid
357,0.0552137,3.39411,-0.0534626,-0.0137948,fluid
358,0.0552137,3.67696,-0.0474884,-0.0281674,fluid
359,0.0552137,3.9598,-0.0377403,-0.0403016,fluid
360,0.0552137,4.24264,-0.0249931,-0.049233,fluid
361,0.0552137,4.52548,-0.0102598,-0.0542521,fluid
362,0.0552137,4.80833,0.00528892,-0.0549598,fluid
363,0.0552137,5.09117,0.0204173,-0.0512999,fluid
364,0.0552137,5.37401,0.0339232,-0.0435634,fluid
365,0.0552137,5.65685,0.0447332,-0.0323649,fluid
366,0.0552137,5.9397,0.0519884,-0.0185945,fluid
367,0.0552137,6.22254,0.0551122,-0.00334641,fluid
368,0.062349,0,0.062349,0,fluid
369,0.062349,0.282843,0.0598716,0.0174008,fluid
370,0.062349,0.565685,0.0526363,0.0334187,fluid
371,0.062349,0.848528,0.0412182,0.0467809,fluid
372,0.062349,1.13137,0.0265245,0.0564256,fluid
373,0.062349,1.41421,0.00972293,0.0615862,fluid
374,0.062349,1.69706,-0.00785128,0.0618527,fluid
375,0.062349,1.9799,-0.0248016,0.0572038,fluid
376,0.062349,2.26274,-0.0397809,0.0480091,fluid
377,0.062349,2.54558,-0.0515989,0.0349992,fluid
378,0.062349,2.82843,-0.0593165,0.019208,fluid
379,0.062349,3.11127,-0.0623203,0.00189031,fluid
380,0.062349,3.39411,-0.0603716,-0.0155776,fluid
381,0.062349,3.67696,-0.0536253,-0.0318075,fluid
382,0.062349,3.9598,-0.0426175,-0.0455098,fluid
383,0.062349,4.24264,-0.028223,-0.0555955,fluid
384,0.062349,4.52548,-0.0115856,-0.0612631,fluid
385,0.062349,4.80833,0.00597241,-0.0620623,fluid
386,0.062349,5.09117,0.0230558,-0.0579294,fluid
387,0.062349,5.37401,0.0383071,-0.0491931,fluid
388,0.062349,5.65685,0.0505141,-0.0365475,fluid
389,0.062349,5.9397,0.0587069,-0.0209975,fluid
390,0.062349,6.22254,0.0622343,-0.00377887,fluid
391,0.0702972,0,0.0702972,0,fluid
392,0.0702972,0.282843,0.067504,0.019619,fluid
393,0.0702972,0.565685,0.0593464,0.0376789,fluid
394,0.0702972,0.848528,0.0464727,0.0527446,fluid
395,0.0702972,1.13137,0.0299058,0.0636187,fluid
396,0.0702972,1.41421,0.0109624,0.0694372,fluid
397,0.0702972,1.69706,-0.00885216,0.0697376,fluid
398,0.0702972,1.9799,-0.0279633,0.0644962,fluid
399,0.0702972,2.26274,-0.0448522,0.0541293,fluid
400,0.0702972,2.54558,-0.0581768,0.0394609,fluid
401,0.0702972,2.82843,-0.0668782,0.0216566,fluid
402,0.0702972,3.11127,-0.0702649,0.00213128,fluid
403,0.0702972,3.39411,-0.0680678,-0.0175634,fluid
404,0.0702972,3.67696,-0.0604615,-0.0358623,fluid
405,0.0702972,3.9598,-0.0480504,-0.0513114,fluid
406,0.0702972,4.24264,-0.0318209,-0.0626828,fluid
407,0.0702972,4.52548,-0.0130626,-0.0690729,fluid
