h/dp :,2
L2normdrhodt,dp,Nparticles
53.8238,0.1,12201

t,0.01
IDx,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
320,0.35,-0.25,,1000.1,17.648,59.9434,,0,0,,0,0,boundary
321,0.45,-0.25,,1000.1,17.6632,59.9663,,0,0,,0,0,boundary
322,0.55,-0.25,,1000.1,17.672,59.9786,,0,0,,0,0,boundary
323,0.65,-0.25,,1000.1,17.6747,59.9819,,0,0,,0,0,boundary
324,0.75,-0.25,,1000.1,17.6755,59.9827,,0,0,,0,0,boundary
325,0.85,-0.25,,1000.1,17.6758,59.983,,0,0,,0,0,boundary
326,0.95,-0.25,,1000.1,17.6759,59.983,,0,0,,0,0,boundary
327,1.05,-0.25,,1000.1,17.6759,59.9831,,0,0,,0,0,boundary
328,1.15,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
329,1.25,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
330,1.35,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
331,1.45,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
332,1.55,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
333,1.65,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
334,1.75,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
335,1.85,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
336,1.95,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
337,2.05,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
338,2.15,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
339,2.25,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
340,2.35,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
341,2.45,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
342,2.55,-0.25,,1000.1,17.676,59.9831,,0,0,,0,0,boundary
