h/dr :,1.8
h/dz :,1.8
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.104177,0.0907378,0.0849207,14.7339,13.4588,12.9303

r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
0.2,3.2,,0.978121,0.998492,1.00121,,0.420854,-8.0105e-17,,0.130591,2.77556e-17,,0.0654658,-4.16334e-17,,-86.7282,-95.4592,-97.5708
0.2,3.3,,0.978121,0.998492,1.00121,,0.420854,5.64533e-15,,0.130591,8.97893e-15,,0.0654658,9.24261e-15,,-86.7282,-95.4592,-97.5708
0.2,3.4,,0.978121,0.998492,1.00121,,0.420854,3.81766e-15,,0.130591,6.79838e-15,,0.0654658,9.26082e-15,,-86.7282,-95.4592,-97.5708
0.2,3.5,,0.978121,0.998492,1.00121,,0.420854,-3.73701e-15,,0.130591,-6.7845e-15,,0.0654658,-9.35797e-15,,-86.7282,-95.4592,-97.5708
0.2,3.6,,0.978121,0.998492,1.00121,,0.420854,-5.63085e-15,,0.130591,-9.07607e-15,,0.0654658,-9.11771e-15,,-86.7282,-95.4592,-97.5708
0.2,3.7,,0.978121,0.998492,1.00121,,0.420854,-5.7578e-16,,0.130591,2.77556e-17,,0.0654658,-4.16334e-17,,-86.7282,-95.4592,-97.5708
0.2,3.8,,0.978121,0.998492,1.00121,,0.420854,3.19276e-15,,0.130591,6.75848e-15,,0.0654658,7.74381e-15,,-86.7282,-95.4592,-97.5708
0.2,3.9,,0.978121,0.998492,1.00121,,0.420854,-2.20268e-16,,0.130591,6.76542e-17,,0.0654658,1.75294e-15,,-86.7282,-95.4592,-97.5708
0.2,4,,0.978121,0.998492,1.00121,,0.420854,-7.46581e-13,,0.130591,-2.32626e-15,,0.0654658,-8.30586e-15,,-86.7282,-95.4592,-97.5708
0.2,4.1,,0.978121,0.998492,1.00121,,0.420854,-2.37285e-10,,0.130591,1.1777e-14,,0.0654658,1.7257e-14,,-86.7282,-95.4592,-97.5708
0.2,4.2,,0.978121,0.998492,1.00121,,0.420854,-4.01824e-08,,0.130591,1.38778e-16,,0.0654658,-4.16334e-17,,-86.7282,-95.4592,-97.5708
0.2,4.3,,0.978121,0.998492,1.00121,,0.420854,-3.62192e-06,,0.130591,-1.38171e-14,,0.0654658,-1.8742e-14,,-86.7281,-95.4592,-97.5708
