h/dp :,2
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.111422,0.0979412,0.0922839,15.5759,14.1002,13.5494

id,r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
120,2.05,0.25,,0.96452,0.991792,0.996678,,-1.94119e-16,0.564031,,4.16334e-17,0.276082,,3.64292e-17,0.187556,,-196.452,-199.069,-199.467
121,2.15,0.25,,0.96452,0.991792,0.996678,,-1.34827e-16,0.564031,,-8.67362e-18,0.276082,,-2.30285e-16,0.187556,,-196.452,-199.069,-199.467
122,2.25,0.25,,0.96452,0.991792,0.996678,,5.23266e-17,0.564031,,5.20417e-17,0.276082,,2.2031e-16,0.187556,,-196.452,-199.069,-199.467
123,2.35,0.25,,0.96452,0.991792,0.996678,,1.39421e-16,0.564031,,5.72459e-17,0.276082,,1.25767e-17,0.187556,,-196.452,-199.069,-199.467
124,2.45,0.25,,0.96452,0.991792,0.996678,,2.81831e-16,0.564031,,-4.68375e-17,0.276082,,1.30972e-16,0.187556,,-196.452,-199.069,-199.467
125,2.55,0.25,,0.96452,0.991792,0.996678,,8.01775e-17,0.564031,,2.46331e-16,0.276082,,1.33574e-16,0.187556,,-196.452,-199.069,-199.467
126,2.65,0.25,,0.96452,0.991792,0.996678,,2.8504e-17,0.564031,,5.55112e-17,0.276082,,-2.37657e-16,0.187556,,-196.452,-199.069,-199.467
127,2.75,0.25,,0.96452,0.991792,0.996678,,3.59419e-17,0.564031,,6.41848e-17,0.276082,,-6.37511e-17,0.187556,,-196.452,-199.069,-199.467
128,2.85,0.25,,0.96452,0.991792,0.996678,,-1.39868e-16,0.564031,,3.66027e-16,0.276082,,4.11129e-16,0.187556,,-196.452,-199.069,-199.467
129,2.95,0.25,,0.96452,0.991792,0.996678,,2.58474e-16,0.564031,,3.50414e-16,0.276082,,3.6993e-16,0.187556,,-196.452,-199.069,-199.467
130,3.05,0.25,,0.96452,0.991792,0.996678,,2.05864e-16,0.564031,,3.31332e-16,0.276082,,3.56052e-16,0.187556,,-196.452,-199.069,-199.467
131,3.15,0.25,,0.96452,0.991792,0.996678,,6.45947e-17,0.564031,,2.46331e-16,0.276082,,3.59088e-16,0.187556,,-196.452,-199.069,-199.467
132,3.25,0.25,,0.96452,0.991792,0.996678,,1.77704e-17,0.564031,,-4.35416e-16,0.276082,,-2.71918e-16,0.187556,,-196.452,-199.069,-199.467
133,3.35,0.25,,0.96452,0.991792,0.996678,,-2.8629e-16,0.564031,,-5.30825e-16,0.276082,,-3.80338e-16,0.187556,,-196.452,-199.069,-199.467
134,3.45,0.25,,0.96452,0.991792,0.996678,,-1.41312e-16,0.564031,,-4.96131e-16,0.276082,,-4.25007e-16,0.187556,,-196.452,-199.069,-199.467
135,3.55,0.25,,0.96452,0.991792,0.996678,,1.52578e-17,0.564031,,-4.85723e-17,0.276082,,-4.07226e-16,0.187556,,-196.452,-199.069,-199.467
136,3.65,0.25,,0.96452,0.991792,0.996678,,4.09661e-16,0.564031,,2.96638e-16,0.276082,,3.18322e-16,0.187556,,-196.452,-199.069,-199.467
137,3.75,0.25,,0.96452,0.991792,0.996678,,1.18875e-15,0.564031,,4.04191e-16,0.276082,,3.56052e-16,0.187556,,-196.452,-199.069,-199.467
138,3.85,0.25,,0.96452,0.991792,0.996678,,9.68484e-17,0.564031,,2.91087e-15,0.276082,,2.52012e-15,0.187556,,-196.452,-199.069,-199.467
139,3.95,0.25,,0.96452,0.991792,0.996678,,-1.08555e-12,0.564031,,1.03806e-14,0.276082,,9.7279e-15,0.187556,,-196.452,-199.069,-199.467
140,4.05,0.25,,0.96452,0.991792,0.996678,,-1.90018e-10,0.564031,,1.57409e-14,0.276082,,1.68212e-14,0.187556,,-196.452,-199.069,-199.467
141,4.15,0.25,,0.96452,0.991792,0.996678,,-1.98442e-08,0.564031,,1.12271e-14,0.276082,,1.094e-14,0.187556,,-196.452,-199.069,-199.467
142,4.25,0.25,,0.96452,0.991792,0.996678,,-1.24461e-06,0.564031,,3.02015e-15,0.276082,,3.06439e-15,0.187556,,-196.452,-199.069,-199.467
143,4.35,0.25,,0.964519,0.991792,0.996678,,-4.68133e-05,0.56403,,-2.1684e-16,0.276082,,2.09468e-16,0.187556,,-196.449,-199.069,-199.467
144,4.45,0.25,,0.964485,0.991792,0.996678,,-0.00105416,0.56401,,-7.80626e-17,0.276082,,1.43115e-16,0.187556,,-196.388,-199.069,-199.467
145,4.55,0.25,,0.96396,0.991792,0.996678,,-0.0141854,0.563703,,-3.50414e-16,0.276082,,-2.41994e-16,0.187556,,-195.732,-199.069,-199.467
146,4.65,0.25,,0.958976,0.991792,0.996678,,-0.113854,0.560789,,-9.36751e-17,0.276082,,-2.31152e-16,0.187556,,-191.745,-199.069,-199.467
147,4.75,0.25,,0.930299,0.983626,0.992151,,-0.544019,0.544019,,-0.276082,0.276082,,-0.187556,0.187556,,-178.84,-190.787,-193.84
148,4.85,0.25,,0.830204,0.904566,0.924047,,-1.54497,0.485486,,-1.51167,0.262285,,-1.39816,0.182548,,-158.821,-166.075,-169.628
149,4.95,0.25,,0.618303,0.664643,0.683295,,-2.60447,0.36157,,-3.1657,0.19133,,-3.38761,0.134577,,-148.226,-149.535,-149.733
150,0.05,0.35,,0.637363,0.670502,0.686646,,2.68476,0.0756706,,3.19855,5.27356e-16,,3.40694,4.43222e-16,,-149.713,-149.955,-149.96
151,0.15,0.35,,0.855796,0.912514,0.928513,,1.59259,0.101604,,1.52087,9.4369e-16,,1.4015,2.90566e-16,,-160.634,-166.732,-170.014
152,0.25,0.35,,0.958976,0.991792,0.996678,,0.560789,0.113854,,0.276082,8.4481e-16,,0.187556,7.06032e-16,,-181.27,-191.628,-194.293
153,0.35,0.35,,0.988538,0.999958,1.00121,,0.117364,0.117364,,3.50414e-16,3.747e-16,,-1.52222e-16,5.12611e-16,,-194.573,-199.91,-199.92
154,0.45,0.35,,0.993675,0.999958,1.00121,,0.0146227,0.117974,,-3.76435e-16,-8.67362e-17,,-3.54317e-16,2.19443e-16,,-198.683,-199.91,-199.92
