dx/h :,0.5
dy/h :,0.5
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.111422,0.0979412,0.0922839,15.5759,14.1002,13.5494

x,y,,PGauss,PCubic,PWedn,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
0.2,3,,0.96452,0.991792,0.996678,,0.564031,-2.9014e-15,,0.276082,-5.38893e-15,,0.187556,-7.22659e-15,,-81.7402,-91.6276,-94.2933
0.2,3.1,,0.96452,0.991792,0.996678,,0.564031,-4.53957e-15,,0.276082,-8.27551e-15,,0.187556,-8.2466e-15,,-81.7402,-91.6276,-94.2933
0.2,3.2,,0.96452,0.991792,0.996678,,0.564031,7.77578e-17,,0.276082,2.3409e-17,,0.187556,-1.97486e-16,,-81.7402,-91.6276,-94.2933
0.2,3.3,,0.96452,0.991792,0.996678,,0.564031,4.54939e-15,,0.276082,8.23073e-15,,0.187556,8.25062e-15,,-81.7402,-91.6276,-94.2933
0.2,3.4,,0.96452,0.991792,0.996678,,0.564031,2.7499e-15,,0.276082,5.22446e-15,,0.187556,7.2293e-15,,-81.7402,-91.6276,-94.2933
0.2,3.5,,0.96452,0.991792,0.996678,,0.564031,-2.91701e-15,,0.276082,-5.38893e-15,,0.187556,-7.22659e-15,,-81.7402,-91.6276,-94.2933
0.2,3.6,,0.96452,0.991792,0.996678,,0.564031,-4.61312e-15,,0.276082,-8.27551e-15,,0.187556,-8.2466e-15,,-81.7402,-91.6276,-94.2933
0.2,3.7,,0.96452,0.991792,0.996678,,0.564031,-7.96985e-16,,0.276082,2.3409e-17,,0.187556,-1.97486e-16,,-81.7402,-91.6276,-94.2933
0.2,3.8,,0.96452,0.991792,0.996678,,0.564031,-1.46668e-15,,0.276082,5.24007e-15,,0.187556,5.52363e-15,,-81.7402,-91.6276,-94.2933
0.2,3.9,,0.96452,0.991792,0.996678,,0.564031,-1.09308e-12,,0.276082,7.02465e-17,,0.187556,1.47349e-15,,-81.7402,-91.6276,-94.2933
0.2,4,,0.96452,0.991792,0.996678,,0.564031,-1.90029e-10,,0.276082,4.65763e-16,,0.187556,-4.18301e-15,,-81.7402,-91.6276,-94.2933
0.2,4.1,,0.96452,0.991792,0.996678,,0.564031,-1.98442e-08,,0.276082,7.62948e-15,,0.187556,1.22989e-14,,-81.7402,-91.6276,-94.2933
