h/dp :,1.5
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.0918565,0.0777916,0.071464,13.3866,12.0235,11.8048

id,r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
129,2.95,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
130,3.05,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
131,3.15,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
132,3.25,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
133,3.35,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
134,3.45,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
135,3.55,0.25,,0.992798,1.00344,1.00514,,-3.64483e-17,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
136,3.65,0.25,,0.992798,1.00344,1.00514,,-8.68934e-18,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
137,3.75,0.25,,0.992798,1.00344,1.00514,,2.25099e-16,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
138,3.85,0.25,,0.992798,1.00344,1.00514,,2.0031e-15,0.194871,,-1.12757e-16,1.5439e-15,,-1.35742e-16,1.43071e-15,,-199.28,-200.672,-199.74
139,3.95,0.25,,0.992798,1.00344,1.00514,,1.02289e-14,0.194871,,8.99281e-15,1.51094e-15,,8.67145e-15,8.32667e-17,,-199.28,-200.672,-199.74
140,4.05,0.25,,0.992798,1.00344,1.00514,,1.71813e-14,0.194871,,1.93526e-14,1.46758e-15,,2.62034e-14,7.58074e-16,,-199.28,-200.672,-199.74
141,4.15,0.25,,0.992798,1.00344,1.00514,,4.13198e-15,0.194871,,9.5271e-15,1.80064e-15,,9.79989e-15,9.80119e-16,,-199.28,-200.672,-199.74
142,4.25,0.25,,0.992798,1.00344,1.00514,,-1.17771e-11,0.194871,,9.02056e-17,2.24473e-15,,1.40946e-16,1.09114e-15,,-199.28,-200.672,-199.74
143,4.35,0.25,,0.992798,1.00344,1.00514,,-8.10594e-09,0.194871,,9.02056e-17,2.24473e-15,,1.40946e-16,1.09114e-15,,-199.28,-200.672,-199.74
144,4.45,0.25,,0.992798,1.00344,1.00514,,-2.24931e-06,0.194871,,9.02056e-17,2.24473e-15,,1.40946e-16,1.09114e-15,,-199.28,-200.672,-199.74
145,4.55,0.25,,0.992793,1.00344,1.00514,,-0.000250287,0.19487,,9.02056e-17,2.24473e-15,,1.40946e-16,1.09114e-15,,-199.267,-200.672,-199.74
146,4.65,0.25,,0.992488,1.00344,1.00514,,-0.0110842,0.19481,,9.02056e-17,2.24473e-15,,1.40946e-16,1.09114e-15,,-198.834,-200.672,-199.74
147,4.75,0.25,,0.985649,1.00344,1.00514,,-0.193468,0.193468,,9.02056e-17,2.24473e-15,,1.40946e-16,1.09114e-15,,-193.362,-200.672,-199.74
148,4.85,0.25,,0.922536,0.97497,0.985621,,-1.31547,0.18108,,-0.93667,1.38778e-15,,-0.77502,1.44329e-15,,-170.922,-181.939,-184.24
149,4.95,0.25,,0.683108,0.73002,0.751674,,-3.44372,0.134084,,-4.09695,9.4369e-16,,-4.21198,7.77156e-16,,-149.64,-150.336,-149.87
